You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy bengali riverbank village with glowing water and clay ground, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, nepalese hillside shrine with stone ground and layered hills, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, sri lankan jungle temple ruins with vines and glowing stones, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy southeast asian floating market with wooden platforms, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, thai inspired golden temple courtyard with radiant surfaces, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, balinese jungle shrine with mossy stone and magical aura, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, indonesian volcanic temple platform with glowing cracks, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, cambodian angkor style ruins with massive stone blocks and vines, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, vietnamese rice terrace battlefield with flat earth and water reflections, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy malaysian rainforest clearing with glowing plants, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, burmese temple courtyard with layered pagoda silhouettes, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, filipino island village shore with magical sand and sea glow, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy african savanna spirit ground with glowing grass, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, ancient nubian sandstone temple courtyard with magical symbols, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, ethiopian highland battlefield with stone ground and mist, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy sahara dune plateau with glowing sand waves, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, tuareg inspired desert camp ruins with arcane markings, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy moroccan riad courtyard with intricate tiles and glowing water, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, west african jungle ruins with carved stones and magical roots, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy congo rainforest clearing with glowing fog, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, maasai inspired plains with patterned ground and warm tones, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy zulu village ground with circular layout and magic aura, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, ancient egyptian magical courtyard with glowing hieroglyphs, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy nile riverbank with soft sand and glowing water, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, ethiopian rock hewn church courtyard with carved stone, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy swahili coastal ruins with coral stone and ocean glow, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, middle eastern desert fortress courtyard with enchanted sand, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, arabian palace rooftop battlefield with tiled floor and stars, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy persian desert garden with glowing fountains, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, indian stepwell courtyard with layered stone and magical light, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy rajput fort courtyard with sandstone floor, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, south asian forest shrine clearing with glowing flora, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy himalayan snow temple with carved ice floor, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, tibetan sky temple platform with clouds and glowing edges, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, nepalese prayer ground with stone and floating lights, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, sri lankan coastal temple platform with sea glow, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy thai jungle ruins with golden accents, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, balinese water temple courtyard with reflective pools, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, indonesian rice field shrine with flat ground and soft light, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, cambodian stone bridge platform with jungle background, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, vietnamese lantern festival ground with glowing lights, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy malay village clearing with wooden textures, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, burmese pagoda courtyard with golden tones, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, filipino jungle shrine clearing with glowing plants, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy african desert shrine with sand and magical symbols, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, nubian pyramid courtyard with sandstone and glow, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, ethiopian plateau temple with carved stone floor, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy saharan oasis ruins with glowing water, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, tuareg desert battlefield with smooth dunes, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, moroccan tile courtyard with intricate patterns, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, west african sacred grove with glowing trees, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, congo jungle temple ruins with moss and light, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, maasai ceremonial ground with patterned earth, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, zulu fortress courtyard with wooden textures, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
